date,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35,P_36,P_37,P_38,P_39
9/8/2008,0,0,1,0,0,1,2,2,0,0,1,1,2,0,0,2,1,1,0,2,1,1,2,0,1,1,1,1,2,1,0,0,1,0,1,0,0,0,1
9/9/2008,2,2,0,1,0,0,0,1,0,0,0,2,0,0,1,1,0,1,1,0,0,3,0,0,1,1,0,0,1,1,0,1,3,1,0,0,3,1,2
9/10/2008,0,0,1,1,1,2,0,1,2,0,2,1,1,1,1,0,0,0,1,2,2,0,1,2,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0
9/11/2008,2,0,1,2,1,1,0,0,1,1,0,0,0,1,0,1,1,3,2,1,0,2,0,0,0,0,0,0,1,0,0,0,2,1,1,1,1,1,2
9/12/2008,1,0,1,0,0,0,2,0,0,1,0,0,1,1,1,1,1,0,1,1,0,2,2,1,0,1,2,0,1,1,1,0,1,0,2,2,0,1,1
9/13/2008,0,0,1,0,1,1,1,1,0,0,3,1,0,0,0,2,1,0,1,1,0,1,1,0,0,3,1,0,2,0,0,2,0,0,1,1,1,3,0
9/14/2008,3,3,1,1,1,0,1,2,0,0,2,0,2,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,3,1,0,0,1,0,1
9/15/2008,3,1,2,0,1,0,0,0,1,2,1,1,1,0,0,2,0,1,1,1,0,0,1,2,0,1,0,1,0,1,0,0,1,1,1,0,2,1,0
9/16/2008,1,0,0,1,0,0,0,0,3,1,0,1,1,0,3,1,0,1,3,0,1,1,0,0,0,3,1,0,0,0,1,0,0,2,1,1,2,1,0
9/17/2008,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,3,1,0,1,0,1,2,2,2,1,2,0,0,2,0,1,1,1,0,1,2
9/18/2008,0,1,0,0,0,1,1,0,3,1,0,2,1,0,0,1,1,1,3,0,0,0,1,0,1,0,0,0,2,0,0,3,0,3,0,1,1,2,0
9/19/2008,0,0,3,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,2,0,0,2,0,0,3,3,1,2,2,1,0,0,0,1,1
9/20/2008,0,1,0,0,0,1,0,0,0,0,1,1,2,0,1,0,1,0,1,1,2,1,0,2,0,0,1,1,1,2,2,1,2,0,1,2,1,1,0
9/21/2008,1,1,0,1,0,1,2,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,2,1,0,1,0,1,0,1,1,0,2,0,2,0,2
9/22/2008,1,0,0,0,3,0,0,2,1,1,1,0,1,0,1,0,0,1,0,2,1,0,2,1,1,0,1,1,2,1,1,3,0,0,0,0,0,2,0
9/23/2008,2,1,0,1,1,0,2,0,0,1,0,2,0,1,2,1,0,0,1,0,2,1,1,0,0,1,1,2,1,0,1,1,0,1,0,1,1,0,1
9/24/2008,2,2,0,1,0,0,1,0,2,1,0,0,0,0,0,1,1,1,1,2,1,2,1,2,0,1,1,1,0,0,0,1,0,1,1,1,2,0,0
9/25/2008,3,0,1,0,0,0,1,1,0,0,2,0,0,0,1,0,0,1,0,0,2,1,3,1,2,1,1,0,1,1,1,2,0,0,1,0,2,0,1
9/26/2008,1,0,0,1,0,1,0,1,0,0,0,2,1,0,0,1,0,2,1,0,1,1,0,0,0,0,2,0,0,2,1,4,1,2,2,0,2,0,1
9/27/2008,0,3,1,1,0,1,2,0,0,1,1,1,1,0,0,2,0,2,1,1,0,2,1,0,0,0,0,0,1,1,1,0,0,2,1,0,1,2,0
9/28/2008,1,0,0,0,1,2,2,1,1,2,1,1,1,1,0,2,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,2,2,0,0,0,0
9/29/2008,2,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,2,1,1,0,0,2,1,1,2,1,3,1,0,2,0,1
9/30/2008,1,2,2,0,0,1,0,1,1,2,2,1,0,2,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,2,2,1,0,2,1
10/1/2008,0,0,1,0,2,0,0,1,0,2,0,0,1,1,0,2,0,0,2,0,2,0,1,0,0,1,1,3,2,2,2,1,1,0,1,0,0,1,0
10/2/2008,1,1,0,1,0,0,2,1,1,0,1,0,1,0,1,0,0,1,2,0,1,1,1,2,1,1,0,1,0,2,1,1,2,0,1,0,1,1,0
10/3/2008,0,1,0,0,1,1,1,0,1,0,0,2,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,4,0,2,1,2,1,2,1,0,0,1
10/4/2008,1,0,1,1,0,0,0,0,0,0,1,0,0,3,2,0,2,0,2,3,2,1,2,2,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0
10/5/2008,0,2,0,1,0,0,1,0,0,1,1,0,0,2,1,1,1,0,1,1,0,2,0,0,0,1,0,1,0,2,0,0,1,2,2,1,2,1,2
10/6/2008,0,0,1,1,0,1,1,0,0,1,0,2,1,1,0,0,1,0,1,2,4,2,1,0,1,1,0,0,2,0,0,0,0,1,1,1,0,2,1
10/7/2008,0,1,2,0,1,1,0,2,3,1,1,0,1,1,1,2,0,0,1,0,0,1,0,0,1,1,1,0,1,1,2,1,0,0,0,0,1,1,1
10/8/2008,1,2,0,1,0,2,0,0,0,0,1,2,0,1,2,1,1,1,1,0,0,0,0,0,0,0,2,1,2,0,2,1,1,3,1,0,0,1,0
10/9/2008,1,2,1,1,1,0,1,0,0,0,0,2,0,0,1,0,1,2,0,0,1,1,1,0,0,3,0,1,2,0,0,0,0,0,3,3,1,1,0
10/10/2008,1,0,2,1,0,1,1,2,0,1,2,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,2,2,1,0,1,1,1,1,1,1,0,0,1
10/11/2008,0,2,2,3,2,0,1,0,1,1,2,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,1,2,2,0,0,0,1,1,2,0,1,0
10/12/2008,1,3,0,1,1,1,2,1,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,3,2,0,1,0,2,2
10/13/2008,0,1,1,1,2,0,0,0,1,0,0,1,1,0,1,1,2,1,2,1,1,1,2,0,2,2,2,1,1,0,0,0,0,0,0,1,1,0,0
10/14/2008,2,0,0,1,1,0,1,1,3,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,2,0,1,2,0,0,2,0,0,1,0,2,0
10/15/2008,0,1,1,0,0,2,1,3,0,0,0,2,1,2,1,2,0,1,1,0,0,0,1,0,2,1,0,0,0,1,0,0,0,2,1,1,1,1,1
10/16/2008,0,2,1,2,0,0,1,2,0,1,1,1,1,0,2,1,0,1,0,0,1,0,0,0,1,1,2,1,0,0,0,2,1,1,0,1,1,1,1
10/17/2008,1,0,1,0,1,2,2,1,1,0,1,0,1,0,0,1,0,1,1,1,1,3,0,0,0,1,1,0,1,0,1,1,2,0,1,1,1,0,1
10/18/2008,1,1,0,2,0,0,3,1,1,1,0,0,0,1,0,1,2,1,1,0,0,1,1,0,0,1,0,0,1,1,3,0,1,0,1,1,1,1,1
10/19/2008,1,1,2,0,1,1,1,2,1,2,1,0,0,0,0,3,2,2,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,2,0,1
10/20/2008,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,2,0,2,1,1,1,0,0,0,0,3,0,1,0,2,4,0,0,0,0,2,1,0
10/21/2008,1,1,1,0,2,1,1,1,2,2,0,2,2,2,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,2,0,0,1,1,1,1,0,0,1
10/22/2008,0,0,0,0,0,0,1,1,0,3,1,0,1,1,1,0,1,0,1,0,0,3,1,1,0,0,1,1,3,0,1,2,0,1,1,1,1,0,2
10/23/2008,2,1,3,0,0,0,1,2,1,1,0,2,0,0,0,2,1,2,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,3,1,0
10/24/2008,1,0,1,2,0,0,2,0,2,0,1,2,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,2,0,2,1,2,2,0,1,0,1,0,1
10/25/2008,2,1,1,1,1,1,1,0,0,1,2,1,1,0,0,1,0,1,2,0,0,1,1,0,0,1,0,0,1,0,2,0,1,1,0,3,2,0,0
10/26/2008,0,1,1,0,1,2,1,0,1,0,0,2,2,1,2,1,1,0,0,1,1,1,0,0,1,0,0,0,3,2,1,0,1,0,1,1,0,1,0
10/27/2008,0,1,1,0,0,1,1,0,1,1,0,0,1,2,1,1,1,1,2,1,0,0,2,0,0,1,1,1,1,1,2,0,1,0,0,1,2,1,0
10/28/2008,0,3,1,1,3,1,0,1,1,0,1,2,1,1,1,1,0,1,2,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1
10/29/2008,2,0,0,0,2,2,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,2,0,0,0,2,1,0,1,0,0,1,3,2,1,0
10/30/2008,1,1,0,0,1,0,0,0,2,2,1,3,1,0,0,0,1,1,0,0,1,3,0,1,1,1,0,0,0,1,2,2,0,2,0,0,1,0,1
10/31/2008,1,0,1,3,0,0,1,2,1,2,1,1,0,2,2,1,0,3,0,0,0,1,0,1,0,0,0,0,1,0,1,2,1,0,0,1,0,1,0
11/1/2008,0,1,2,0,1,1,0,1,1,0,1,0,1,0,2,0,0,1,2,0,2,1,1,1,1,0,1,0,0,3,1,0,2,0,0,1,0,0,2
11/2/2008,1,1,0,1,0,0,1,1,0,0,2,2,1,0,0,2,0,1,2,0,1,0,1,1,1,1,1,2,0,1,0,0,1,0,0,0,2,1,2
11/3/2008,0,0,0,2,1,1,0,1,0,2,1,1,0,0,0,1,1,1,1,0,1,0,1,1,2,2,0,0,2,1,0,1,1,2,0,1,0,1,1
11/4/2008,0,0,0,0,0,0,1,0,1,1,2,1,1,2,0,1,0,0,0,1,1,3,1,3,3,0,1,0,1,0,0,0,0,2,1,0,0,1,2
11/5/2008,2,1,1,1,0,2,0,1,1,0,1,0,1,3,0,1,1,1,2,2,0,2,0,0,1,1,0,2,0,1,0,0,0,0,0,0,2,0,0
11/6/2008,0,0,1,1,0,1,2,0,2,1,1,1,0,1,0,0,0,0,0,1,0,1,3,1,1,2,3,2,0,1,0,1,0,0,2,0,0,0,1
11/7/2008,1,3,0,1,2,3,0,0,0,3,0,1,0,1,0,1,0,2,0,0,0,2,1,0,0,0,0,1,0,2,0,1,1,0,1,1,2,0,0
11/8/2008,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,3,1,0,0,0,0,1,2,2,1,0,1,1,0,2,0,0,1,1,0,3,1,0,0
11/9/2008,0,3,0,1,3,1,0,2,1,1,0,1,0,0,1,3,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,2,2,1
11/10/2008,1,1,0,0,0,1,2,3,0,1,2,0,0,1,0,2,0,0,0,0,1,1,0,0,1,1,1,4,1,0,1,2,0,3,0,0,0,0,0
11/11/2008,0,0,1,2,0,1,0,1,0,1,1,1,0,1,0,1,1,3,0,2,2,2,2,0,1,0,1,0,1,0,0,0,1,1,2,0,0,1,0
11/12/2008,1,0,1,2,1,2,0,0,0,0,0,1,2,0,1,1,2,0,1,0,0,0,2,1,1,1,2,0,2,0,3,0,1,0,0,1,1,0,0
11/13/2008,0,1,3,1,0,0,0,1,2,1,1,1,0,0,0,1,1,2,0,1,0,1,0,1,0,2,0,2,0,1,1,0,3,1,0,1,0,1,0
